organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Phoenix dactylifera	42345	PRJNA249070	249070	Plants	Land Plants	556.481	40.1056	GCA_000413155.1	mitochondrion MT:NC_016740.1/JN375330.1; chloroplast Pltd:NC_013991.2/GU811709.2	ATBV01	80317	28270	38570	2013-06-19	2014-08-11	Scaffold	NCBI	SAMN02981540
Elaeis guineensis	51953	PRJNA268357	268357	Plants	Land Plants	1535.18	40.999	GCA_000442705.1	chromosome Chr1:NC_025993.1/CM002081.1; chromosome Chr10:NC_026002.1/CM002090.1; chromosome Chr2:NC_025994.1/CM002082.1; chromosome Chr11:NC_026003.1/CM002091.1; chromosome Chr3:NC_025995.1/CM002083.1; chromosome Chr12:NC_026004.1/CM002092.1; chromosome Chr4:NC_025996.1/CM002084.1; chromosome Chr13:NC_026005.1/CM002093.1; chromosome Chr5:NC_025997.1/CM002085.1; chromosome Chr14:NC_026006.1/CM002094.1; chromosome Chr6:NC_025998.1/CM002086.1; chromosome Chr15:NC_026007.1/CM002095.1; chromosome Chr7:NC_025999.1/CM002087.1; chromosome Chr16:NC_026008.1/CM002096.1; chromosome Chr8:NC_026000.1/CM002088.1; chromosome Chr9:NC_026001.1/CM002089.1; chloroplast Pltd:NC_017602.1/JF274081.1	ASJS01	40349	30271	41887	2013-07-26	2014-08-11	Chromosome	NCBI	SAMN02981535
Coccomyxa subellipsoidea C-169	574566	PRJNA32657	32657	Plants	Green Algae	48.8266	52.9	GCA_000258705.1	NA	AGSI01	29	9915	9839	2012-04-13	2014-08-01	Contig	JGI	SAMN02744078
Oryza barthii	65489	PRJNA30379	30379	Plants	Land Plants	308.272	42.0761	GCA_000182155.3	chromosome 1:CM002639.1; chromosome 2:CM002643.2; chromosome 3:CM002644.1; chromosome 4:CM002645.1; chromosome 5:CM002646.2; chromosome 6:CM002647.1; chromosome 7:CM002648.1; chromosome 8:CM002649.1; chromosome 9:CM002650.1; chromosome 10:CM002640.2; chromosome 11:CM002641.2; chromosome 12:CM002642.2	ABRL02	12	NA	NA	2009-04-21	2014-08-06	Chromosome	Oryza Chr3 Short Arm Comparative Sequencing Project	SAMN02953732
Spirodela polyrhiza	29656	PRJNA308109	308109	Plants	Land Plants	136.67	42.7191	GCA_001981405.1	chromosome 1:CP019093.1; chromosome 2:CP019094.1; chromosome 3:CP019095.1; chromosome 4:CP019096.1; chromosome 5:CP019097.1; chromosome 6:CP019098.1; chromosome 7:CP019099.1; chromosome 8:CP019100.1; chromosome 9:CP019101.1; chromosome 10:CP019102.1; chromosome 11:CP019103.1; chromosome 12:CP019104.1; chromosome 13:CP019105.1; chromosome 14:CP019106.1; chromosome 15:CP019107.1; chromosome 16:CP019108.1; chromosome 17:CP019109.1; chromosome 18:CP019110.1; chromosome 19:CP019111.1; chromosome 20:CP019112.1	NA	20	NA	NA	2017-01-17	2017-01-17	Chromosome	Donald Danforth Plant Science Center	SAMN04386762
Oryza nivara	4536	PRJNA48107	48107	Plants	Land Plants	337.95	42.9397	GCA_000576065.1	chromosome chr1:CM002500.1; chromosome chr10:CM002501.1; chromosome chr11:CM002502.1; chromosome chr12:CM002503.1; chromosome chr2:CM002504.1; chromosome chr3:CM002505.1; chromosome chr4:CM002506.1; chromosome chr5:CM002507.1; chromosome chr6:CM002508.1; chromosome chr7:CM002509.1; chromosome chr8:CM002510.1; chromosome chr9:CM002511.1	AWHD01	12	NA	NA	2014-02-19	2014-08-11	Chromosome	Oryza Map Alignment Project (OMAP)	SAMN02981560
Cajanus cajan	3821	PRJNA376605	376605	Plants	Land Plants	592.971	33.7105	GCA_000340665.1	chromosome 1:NC_033804.1/CM003603.1; chromosome 2:NC_033805.1/CM003604.1; chromosome 3:NC_033806.1/CM003605.1; chromosome 4:NC_033807.1/CM003606.1; chromosome 5:NC_033808.1/CM003607.1; chromosome 6:NC_033809.1/CM003608.1; chromosome 7:NC_033810.1/CM003609.1; chromosome 8:NC_033811.1/CM003610.1; chromosome 9:NC_033812.1/CM003611.1; chromosome 10:NC_033813.1/CM003612.1; chromosome 11:NC_033814.1/CM003613.1; chloroplast Pltd:NC_031429.1/KX672004.1	AGCT01	36536	31549	38965	2013-02-13	2016-03-30	Chromosome	NCBI	SAMN02981370
Cicer arietinum	3827	PRJNA190909	190909	Plants	Land Plants	530.894	32.6705	GCA_000331145.1	chromosome Ca1:NC_021160.1/CM001764.1; chromosome Ca2:NC_021161.1/CM001765.1; chromosome Ca3:NC_021162.1/CM001766.1; chromosome Ca4:NC_021163.1/CM001767.1; chromosome Ca5:NC_021164.1/CM001768.1; chromosome Ca6:NC_021165.1/CM001769.1; chromosome Ca7:NC_021166.1/CM001770.1; chromosome Ca8:NC_021167.1/CM001771.1; chloroplast Pltd:NC_011163.1/EU835853.1	ANPC01	7545	27758	33107	2012-12-31	2014-08-11	Chromosome	NCBI	SAMN02981489
Marchantia polymorpha subsp. ruderalis	1480154	PRJNA310693	310693	Plants	Land Plants	205.718	36.1	GCA_001641455.1	NA	LVLJ01	4137	17956	17956	2016-05-10	2017-07-20	Scaffold	Oxford University	SAMN04450698
Gossypium raimondii	29730	PRJNA282644	282644	Plants	Land Plants	761.565	33.5284	GCA_000327365.1	chromosome 1:NC_026929.1/CM001740.1; chromosome 2:NC_026930.1/CM001741.1; chromosome 3:NC_026931.1/CM001742.1; chromosome 4:NC_026932.1/CM001743.1; chromosome 5:NC_026933.1/CM001744.1; chromosome 6:NC_026934.1/CM001745.1; chromosome 7:NC_026935.1/CM001746.1; chromosome 8:NC_026936.1/CM001747.1; chromosome 9:NC_026937.1/CM001748.1; chromosome 10:NC_026938.1/CM001749.1; chromosome 11:NC_026939.1/CM001750.1; chromosome 12:NC_026940.1/CM001751.1; chromosome 13:NC_026941.1/CM001752.1; chloroplast:NC_016668.1/HQ325744.1	ALYE01	1034	44678	59057	2012-12-20	2015-03-02	Chromosome	NCBI	SAMN02743920
Fragaria vesca subsp. vesca	101020	PRJNA60037	60037	Plants	Land Plants	214.373	38.9793	GCA_000184155.1	linkage group LG1:NC_020491.1/CM001053.1; linkage group LG2:NC_020492.1/CM001054.1; linkage group LG3:NC_020493.1/CM001055.1; linkage group LG4:NC_020494.1/CM001056.1; linkage group LG5:NC_020495.1/CM001057.1; linkage group LG6:NC_020496.1/CM001058.1; linkage group LG7:NC_020497.1/CM001059.1; chloroplast Pltd:NC_015206.1/JF345175.1	AEMH01	3048	27771	31387	2010-12-22	2014-05-27	Chromosome	Virginia Bioinformatics Institute	SAMN00120060
Botryococcus braunii	38881	PRJNA60039	60039	Plants	Green Algae	184.382	50.8	GCA_002005505.1	NA	MVGU01	2751	NA	NA	2017-02-22	2017-02-22	Scaffold	DOE-JGI	SAMN00120186
Schrenkiella parvula	98039	PRJNA63667	63667	Plants	Land Plants	137.073	35.7366	GCA_000218505.1	chromosome 1:CM001187.1; chromosome 2:CM001188.1; chromosome 3:CM001189.1; chromosome 4:CM001190.1; chromosome 5:CM001191.1; chromosome 6:CM001192.1; chromosome 7:CM001193.1	AFAN01	1463	NA	NA	2011-03-25	2013-11-01	Chromosome	University of Illinois	SAMN00139339
Amaranthus hypochondriacus	28502	PRJNA214803	214803	Plants	Land Plants	502.148	42.2	GCA_000753965.1	NA	JPXE01	117340	NA	NA	2014-09-09	2014-09-10	Scaffold	Institute of Bioinformatics and Applied Biotechnology	SAMN02315103
Linum usitatissimum	4006	PRJNA68161	68161	Plants	Land Plants	282.202	39.5	GCA_000224295.1	NA	AFSQ01	48397	NA	NA	2011-08-22	2017-11-16	Contig	TUFGEN	SAMN00627887
Spinacia oleracea	3562	PRJNA396054	396054	Plants	Land Plants	869.946	38.3997	GCA_002007265.1	plastid Pltd:NC_002202.1/AJ400848.1	LZYP01	78263	30973	32794	2017-02-27	2017-02-27	Scaffold	NCBI	SAMN05242642
Trifolium subterraneum	3900	PRJDB2012	330656	Plants	Land Plants	471.834	35.2	GCA_001742945.1	NA	BCLP01	27424	42683	42059	2016-07-16	2016-07-16	Scaffold	Lab. of Plant Genome Informatics, Department of Plant Genome Research, Kazusa DNA Research Institute	SAMD00004201
Parachlorella kessleri	3074	PRJDB3487	306849	Plants	Green Algae	59.1878	58.3	GCA_001598975.1	NA	BBXU01	3651	NA	NA	2015-12-19	2016-03-24	Contig	The University of Tokyo	SAMD00025188
Lagenaria siceraria	3668	PRJNA335916	335916	Plants	Land Plants	326.59	30.3	GCA_002890555.1	NA	MIMD01	1734	NA	NA	2018-01-17	2018-01-17	Scaffold	Zhejiang Academy of  Agricultural Sciences	SAMN05467121
Cucumis melo	3656	PRJEB68	169893	Plants	Land Plants	374.928	34.9008	GCA_000313045.1	chloroplast Pltd:NC_015983.1/JF412791.1	CAJI01	31464	22519	29798	2012-06-29	2012-06-29	Scaffold	CRAG	SAMEA2272451
Citrus sinensis	2711	PRJNA225998	225998	Plants	Land Plants	327.83	35.3314	GCA_000317415.1	chromosome 1:NC_023046.1/CM001701.1; chromosome 2:NC_023047.1/CM001702.1; chromosome 3:NC_023048.1/CM001703.1; chromosome 4:NC_023049.1/CM001704.1; chromosome 5:NC_023050.1/CM001705.1; chromosome 6:NC_023051.1/CM001706.1; chromosome 7:NC_023052.1/CM001707.1; chromosome 8:NC_023053.1/CM001708.1; chromosome 9:NC_023054.1/CM001709.1; chloroplast Pltd:NC_008334.1/DQ864733.1	AJPS01	4995	28407	35648	2012-09-18	2014-08-11	Chromosome	NCBI	SAMN02981414
Gossypium hirsutum	3635	PRJNA320881	320881	Plants	Land Plants	2189.14	34.9006	GCA_000987745.1	chromosome 1:NC_030074.1/CM003250.1; chromosome 2:NC_030075.1/CM003251.1; chromosome 3:NC_030076.1/CM003252.1; chromosome 4:NC_030077.1/CM003253.1; chromosome 5:NC_030078.1/CM003254.1; chromosome 6:NC_030079.1/CM003255.1; chromosome 7:NC_030080.1/CM003256.1; chromosome 8:NC_030081.1/CM003257.1; chromosome 9:NC_030082.1/CM003258.1; chromosome 10:NC_030083.1/CM003259.1; chromosome 11:NC_030084.1/CM003260.1; chromosome 12:NC_030085.1/CM003261.1; chromosome 13:NC_030086.1/CM003262.1; chromosome 14:NC_030087.1/CM003263.1; chromosome 15:NC_030088.1/CM003264.1; chromosome 16:NC_030089.1/CM003265.1; chromosome 17:NC_030090.1/CM003266.1; chromosome 18:NC_030091.1/CM003267.1; chromosome 19:NC_030092.1/CM003268.1; chromosome 20:NC_030093.1/CM003269.1; chromosome 21:NC_030094.1/CM003270.1; chromosome 22:NC_030095.1/CM003271.1; chromosome 23:NC_030096.1/CM003272.1; chromosome 24:NC_030097.1/CM003273.1; chromosome 25:NC_030098.1/CM003274.1; chromosome 26:NC_030099.1/CM003275.1; mitochondrion MT:NC_027406.1/JX944505.1; chloroplast Pltd:NC_007944.1/DQ345959.1	LBLM01	9148	78043	90927	2015-04-29	2015-05-05	Chromosome	NCBI	SAMN03342414
Dunaliella salina	3046	PRJNA32771	32771	Plants	Green Algae	343.704	40.1	GCA_002284615.1	NA	NSFN01	5512	NA	NA	2017-08-31	2017-08-31	Scaffold	JGI	SAMN02746051
Olea europaea var. sylvestris	158386	PRJNA417827	417827	Plants	Land Plants	1141.15	36.7747	GCA_002742605.1	chromosome 1:NC_036237.1/CM008515.1; chromosome 2:NC_036238.1/CM008516.1; chromosome 3:NC_036239.1/CM008517.1; chromosome 4:NC_036240.1/CM008518.1; chromosome 5:NC_036241.1/CM008519.1; chromosome 6:NC_036242.1/CM008520.1; chromosome 7:NC_036243.1/CM008521.1; chromosome 8:NC_036244.1/CM008522.1; chromosome 9:NC_036245.1/CM008523.1; chromosome 10:NC_036246.1/CM008524.1; chromosome 11:NC_036247.1/CM008525.1; chromosome 12:NC_036248.1/CM008526.1; chromosome 13:NC_036249.1/CM008527.1; chromosome 14:NC_036250.1/CM008528.1; chromosome 15:NC_036251.1/CM008529.1; chromosome 16:NC_036252.1/CM008530.1; chromosome 17:NC_036253.1/CM008531.1; chromosome 18:NC_036254.1/CM008532.1; chromosome 19:NC_036255.1/CM008533.1; chromosome 20:NC_036256.1/CM008534.1; chromosome 21:NC_036257.1/CM008535.1; chromosome 22:NC_036258.1/CM008536.1; chromosome 23:NC_036259.1/CM008537.1; plastid Pltd:NC_015401.1/FN997650.2	MSRW01	41226	47344	58334	2017-11-01	2017-11-03	Chromosome	NCBI	SAMN05943011
Castanea mollissima	60419	PRJNA46687	46687	Plants	Land Plants	833.241	36.1	GCA_000763605.1	NA	JRKL01	133589	NA	NA	2014-10-03	2014-10-06	Scaffold	Clemson University Genomics Institute	SAMN02640765
Silene latifolia subsp. alba	52853	PRJNA289891	289891	Plants	Land Plants	665.279	35.1	GCA_001412135.1	NA	LHUT01	307720	NA	NA	2015-10-23	2015-10-23	Scaffold	University of Oxford	SAMN03858036
Fagopyrum esculentum	3617	PRJDB4232	313366	Plants	Land Plants	1177.69	28.8	GCA_001661195.1	NA	BCYN01	387594	NA	NA	2016-05-11	2016-09-09	Scaffold	Kazusa DNA Research Institute	SAMD00041197
Citrullus lanatus	3654	PRJNA72695	72695	Plants	Land Plants	321.047	32.9	GCA_000238415.1	NA	AGCB01	40248	NA	NA	2011-12-13	2014-08-11	Contig	National Engineering Research Center for Vegetables, Beijing Academy of Agriculture and Forestry Sciences	SAMN02981367
Gossypium barbadense	3634	PRJNA219156	219156	Plants	Land Plants	2566.74	35.8	GCA_001856525.1	NA	AXCG01	29751	NA	NA	2016-10-28	2016-11-03	Scaffold	Huazhong Agricultural University	SAMN03433309
Saccharum hybrid cultivar SP80-3280	193079	PRJNA272769	272769	Plants	Land Plants	1169.95	43	GCA_002018215.1	NA	JXQF01	199028	NA	NA	2017-03-03	2017-03-03	Contig	Centro Nacional de Pesquisa em Energia e Materiais	SAMN02727967
Tetradesmus obliquus	3088	PRJEB15865	352188	Plants	Green Algae	107.716	56.8	GCA_900108755.1	NA	FNXT01	1368	NA	NA	2016-11-02	2016-11-02	Scaffold	WAGENINGEN UNIVERSITY	SAMEA4502842
Oryza brachyantha	4533	PRJNA232125	232125	Plants	Land Plants	259.908	41.0964	GCA_000231095.2	chromosome 1:NC_023163.1/CM001241.2; chromosome 2:NC_023164.1/CM001242.1; chromosome 3:NC_023165.1/CM001243.2; chromosome 4:NC_023166.1/CM001244.2; chromosome 5:NC_023167.1/CM001245.2; chromosome 6:NC_023168.1/CM001246.2; chromosome 7:NC_023169.1/CM001247.2; chromosome 8:NC_023170.1/CM001248.2; chromosome 9:NC_023171.1/CM001249.2; chromosome 10:NC_023172.1/CM001250.2; chromosome 11:NC_023173.1/CM001251.2; chromosome 12:NC_023174.1/CM001252.2	AGAT01	2491	24793	26803	2011-10-19	2014-08-11	Chromosome	NCBI	SAMN02981362
Capsicum annuum	4072	PRJNA186921	186921	Plants	Land Plants	2935.88	35.4061	GCA_000710875.1	chromosome 1:NC_029977.1/CM002812.1; chromosome 2:NC_029978.1/CM002813.1; chromosome 3:NC_029979.1/CM002814.1; chromosome 4:NC_029980.1/CM002815.1; chromosome 5:NC_029981.1/CM002816.1; chromosome 6:NC_029982.1/CM002817.1; chromosome 7:NC_029983.1/CM002818.1; chromosome 8:NC_029984.1/CM002819.1; chromosome 9:NC_029985.1/CM002820.1; chromosome 10:NC_029986.1/CM002821.1; chromosome 11:NC_029987.1/CM002822.1; chromosome 12:NC_029988.1/CM002823.1; chloroplast Pltd:NC_018552.1/JX270811.1; mitochondrion MT:NC_024624.1/KJ865410.1	ASJU01	6478	41504	45410	2014-06-23	2015-03-11	Chromosome	BGI	SAMN01906946
Brassica oleracea var. oleracea	109376	PRJNA293438	293438	Plants	Land Plants	488.954	37.3348	GCA_000695525.1	chromosome C1:NC_027748.1/CM002784.1; chromosome C2:NC_027749.1/CM002785.1; chromosome C3:NC_027750.1/CM002786.1; chromosome C4:NC_027751.1/CM002787.1; chromosome C5:NC_027752.1/CM002788.1; chromosome C6:NC_027753.1/CM002789.1; chromosome C7:NC_027754.1/CM002790.1; chromosome C8:NC_027755.1/CM002791.1; chromosome C9:NC_027756.1/CM002792.1; mitochondrion MT:NC_016118.1/JF920286.1	JJMF01	32886	53670	56687	2014-05-22	2014-05-27	Chromosome	NCBI	SAMN02584321
Gossypium arboreum	29729	PRJNA335838	335838	Plants	Land Plants	1694.6	36.1993	GCA_000612285.2	chromosome 1:NC_030664.1/CM002679.1; chromosome 2:NC_030665.1/CM002680.1; chromosome 3:NC_030666.1/CM002681.1; chromosome 4:NC_030667.1/CM002682.1; chromosome 5:NC_030668.1/CM002683.1; chromosome 6:NC_030669.1/CM002684.1; chromosome 7:NC_030670.1/CM002685.1; chromosome 8:NC_030671.1/CM002686.1; chromosome 9:NC_030672.1/CM002687.1; chromosome 10:NC_030673.1/CM002688.1; chromosome 11:NC_030674.1/CM002689.1; chromosome 12:NC_030675.1/CM002690.1; chromosome 13:NC_030676.1/CM002691.1; chloroplast Pltd:NC_016712.1/HQ325740.1	AYOE01	75419	40092	47568	2014-03-31	2015-09-28	Chromosome	NCBI	SAMN02981570
Oryza punctata	4537	PRJNA13770	13770	Plants	Land Plants	393.817	42.8066	GCA_000573905.1	chromosome 1:CM002488.1; chromosome 2:CM002489.1; chromosome 3:CM002490.1; chromosome 4:CM002491.1; chromosome 5:CM002492.1; chromosome 6:CM002493.1; chromosome 7:CM002494.1; chromosome 8:CM002495.1; chromosome 9:CM002496.1; chromosome 10:CM002497.1; chromosome 11:CM002498.1; chromosome 12:CM002499.1	AVCL01	12	NA	NA	2014-02-19	2014-08-11	Chromosome	The Oryza Map Alignment Project (OMAP)	SAMN02981556
Oryza officinalis	4535	PRJNA239525	239525	Plants	Land Plants	26.1885	44.7	GCA_000717455.1	chromosome 3:CM002825.1	JJMQ01	1	NA	NA	2014-07-02	2014-07-03	Chromosome	Oryza Chr3 Short Arm Comparative Sequencing Project	SAMN02666869
Oryza minuta	63629	PRJNA239524	239524	Plants	Land Plants	45.1659	43.8116	GCA_000632695.1	chromosome BB3:CM002693.1; chromosome CC3:CM002694.1	JJNN01	2	NA	NA	2014-04-16	2014-04-17	Chromosome	Oryza Chr3 Short Arm Comparative Sequencing Project	SAMN02666870
Aegilops tauschii subsp. tauschii	169297	PRJNA371621	371621	Plants	Land Plants	4327.32	46.3679	GCA_001957025.1	chloroplast Pltd:NC_022133.1/JQ754651.1	MCGU01	68538	54769	55713	2017-01-19	2017-01-19	Contig	NCBI	SAMN05426520
Nicotiana benthamiana	4100	PRJEB1277	248796	Plants	Land Plants	61.9511	39.6	GCA_000723945.1	NA	CBMM01	100480	NA	NA	2014-05-27	2015-01-30	Contig	NAAS	SAMEA3139055
Solanum melongena	4111	PRJDB1505	261395	Plants	Land Plants	833.081	36.2	GCA_000787875.1	NA	BAUE01	33873	NA	NA	2014-09-17	2015-10-31	Scaffold	Kazusa DNA Research Institute	NA
Musa acuminata subsp. malaccensis	214687	PRJEA82777	82777	Plants	Land Plants	472.231	40.729	GCA_000313855.2	chromosome 1:NC_025202.1/HE813975.1; chromosome 2:NC_025203.1/HE813976.1; chromosome 3:NC_025204.1/HE813977.1; chromosome 4:NC_025205.1/HE813978.1; chromosome 5:NC_025206.1/HE813979.1; chromosome 6:NC_025207.1/HE813980.1; chromosome 7:NC_025208.1/HE813981.1; chromosome 8:NC_025209.1/HE813982.1; chromosome 9:NC_025210.1/HE813983.1; chromosome 10:NC_025211.1/HE813984.1; chromosome 11:NC_025212.1/HE813985.1	CAIC01	7512	34100	47707	2012-08-09	2015-01-30	Chromosome	Genoscope/IG/CEA	SAMEA2272344
Asparagus officinalis	4686	PRJNA376608	376608	Plants	Land Plants	1187.54	39.3594	GCA_001876935.1	chromosome 1:NC_033794.1/CM007381.1; chromosome 2:NC_033795.1/CM007382.1; chromosome 3:NC_033796.1/CM007383.1; chromosome 4:NC_033797.1/CM007384.1; chromosome 5:NC_033798.1/CM007385.1; chromosome 6:NC_033799.1/CM007386.1; chromosome 7:NC_033800.1/CM007387.1; chromosome 8:NC_033801.1/CM007388.1; chromosome 9:NC_033802.1/CM007389.1; chromosome 10:NC_033803.1/CM007390.1	MPDI01	11792	32073	36763	2016-11-09	2017-02-06	Chromosome	NCBI	SAMN04606231
Eragrostis tef	110835	PRJNA253673	253673	Plants	Land Plants	607.318	45.5	GCA_000970635.1	NA	LAPY01	13883	NA	NA	2015-04-08	2015-04-08	Scaffold	Tef Genome Sequencing Initiative Webpage	SAMN02872936
Setaria italica	4555	PRJNA32913	32913	Plants	Land Plants	405.868	46.1715	GCA_000263155.2	chromosome I:NC_028450.1/CM003528.1; chromosome II:NC_028451.1/CM003529.1; chromosome III:NC_028452.1/CM003530.1; chromosome IV:NC_028453.1/CM003531.1; chromosome V:NC_028454.1/CM003532.1; chromosome VI:NC_028455.1/CM003533.1; chromosome VII:NC_028456.1/CM003534.1; chromosome VIII:NC_028457.1/CM003535.1; chromosome IX:NC_028458.1/CM003536.1; plastid Pltd:NC_022850.1/KF646538.1	AGNK02	337	32107	35844	2012-05-11	2015-10-30	Chromosome	JGI	SAMN02981383
Brassica juncea var. tumida	323352	PRJNA285130	285130	Plants	Land Plants	954.861	37.3429	GCA_001687265.1	chromosome A1:CM007185.1; chromosome A2:CM007186.1; chromosome A3:CM007187.1; chromosome A4:CM007188.1; chromosome A5:CM007189.1; chromosome A6:CM007190.1; chromosome A7:CM007191.1; chromosome A8:CM007192.1; chromosome A9:CM007193.1; chromosome A10:CM007194.1; chromosome B1:CM007195.1; chromosome B2:CM007196.1; chromosome B3:CM007197.1; chromosome B4:CM007198.1; chromosome B5:CM007199.1; chromosome B6:CM007200.1; chromosome B7:CM007201.1; chromosome B8:CM007202.1	LFQT01	9746	NA	NA	2016-07-19	2016-09-23	Chromosome	Zhejiang University	SAMN03741772
Brassica nigra	3710	PRJNA285130	285130	Plants	Land Plants	402.145	36.3207	GCA_001682895.1	chromosome B1:CM004491.1; chromosome B2:CM004492.1; chromosome B3:CM004493.1; chromosome B4:CM004494.1; chromosome B5:CM004495.1; chromosome B6:CM004496.1; chromosome B7:CM004497.1; chromosome B8:CM004498.1	LFLV01	2545	NA	NA	2016-07-10	2016-07-12	Chromosome	Zhejiang University	SAMN03742614
Quercus robur	38942	PRJEB7855	285761	Plants	Land Plants	1354.31	37	GCA_900069085.1	NA	CDOU01	17910	NA	NA	2015-06-02	2015-08-13	Scaffold	Genoscope CEA	SAMEA3145103
Cenchrus americanus	4543	PRJNA294988	294988	Plants	Land Plants	1816.95	48.0881	GCA_002174835.2	chromosome 1:CM007982.2; chromosome 2:CM007983.2; chromosome 3:CM007984.2; chromosome 4:CM007985.2; chromosome 5:CM007986.2; chromosome 6:CM007987.2; chromosome 7:CM007988.2	LKME02	52033	NA	NA	2017-06-06	2018-01-24	Chromosome	Pearl Millet	SAMN04124419
Citrus maxima	37334	PRJNA318855	318855	Plants	Land Plants	345.757	34.9872	GCA_002006925.1	chromosome 1:CM007748.1; chromosome 2:CM007749.1; chromosome 3:CM007750.1; chromosome 4:CM007751.1; chromosome 5:CM007752.1; chromosome 6:CM007753.1; chromosome 7:CM007754.1; chromosome 8:CM007755.1; chromosome 9:CM007756.1	MKYQ01	1612	NA	NA	2017-02-24	2017-04-21	Chromosome	Huazhong Agriculture University	SAMN04901528
Eleusine coracana subsp. coracana	191504	PRJNA318349	318349	Plants	Land Plants	1195.99	44.8	GCA_002180455.1	NA	LXGH01	525627	NA	NA	2017-06-08	2017-06-19	Scaffold	University of Agricultural Sciences	SAMN04849255
Pinus taeda	3352	PRJNA174450	174450	Plants	Land Plants	22103.6	34.8	GCA_000404065.3	NA	APFE03	1760464	NA	NA	2015-08-06	2017-01-11	Scaffold	UC Davis	SAMN02981512
Vigna unguiculata subsp. unguiculata	3920	PRJNA325510	325510	Plants	Land Plants	695.046	13.6	GCA_001687525.1	NA	MATU01	224035	NA	NA	2016-07-20	2016-07-20	Scaffold	Cowpea Modern Breeding Consortium	SAMN05236222
Lupinus angustifolius	3871	PRJNA356456	356456	Plants	Land Plants	609.203	33.5664	GCA_001865875.1	chromosome LG01:NC_032009.1/CM007361.1; chromosome LG02:NC_032010.1/CM007362.1; chromosome LG03:NC_032011.1/CM007363.1; chromosome LG04:NC_032012.1/CM007364.1; chromosome LG05:NC_032013.1/CM007365.1; chromosome LG06:NC_032014.1/CM007366.1; chromosome LG07:NC_032015.1/CM007367.1; chromosome LG08:NC_032016.1/CM007368.1; chromosome LG09:NC_032017.1/CM007369.1; chromosome LG10:NC_032018.1/CM007370.1; chromosome LG11:NC_032019.1/CM007371.1; chromosome LG12:NC_032020.1/CM007372.1; chromosome LG13:NC_032021.1/CM007373.1; chromosome LG14:NC_032022.1/CM007374.1; chromosome LG15:NC_032023.1/CM007375.1; chromosome LG16:NC_032024.1/CM007376.1; chromosome LG17:NC_032025.1/CM007377.1; chromosome LG18:NC_032026.1/CM007378.1; chromosome LG19:NC_032027.1/CM007379.1; chromosome LG20:NC_032028.1/CM007380.1	MLAU01	14378	38451	52821	2016-11-01	2016-11-16	Chromosome	NCBI	SAMN04215042
Vigna angularis	3914	PRJNA328963	328963	Plants	Land Plants	467.301	34.6231	GCA_001190045.1	chromosome 1:NC_030637.1/CM003371.1; chromosome 2:NC_030638.1/CM003372.1; chromosome 3:NC_030639.1/CM003373.1; chromosome 4:NC_030640.1/CM003374.1; chromosome 5:NC_030641.1/CM003375.1; chromosome 6:NC_030642.1/CM003376.1; chromosome 7:NC_030643.1/CM003377.1; chromosome 8:NC_030644.1/CM003378.1; chromosome 9:NC_030645.1/CM003379.1; chromosome 10:NC_030646.1/CM003380.1; chromosome 11:NC_030647.1/CM003381.1; chloroplast Pltd:NC_021091.1/AP012598.1; mitochondrion MT:NC_021092.1/AP012599.1	JZJH01	37727	29474	37769	2015-07-30	2015-11-12	Chromosome	NCBI	SAMN03074979
Trifolium pratense	57577	PRJEB9186	284476	Plants	Land Plants	345.991	32.4355	GCA_900079335.1	chromosome LG1:LT555306.1; chromosome LG2:LT555307.1; chromosome LG3:LT555308.1; chromosome LG4:LT555309.1; chromosome LG5:LT555310.1; chromosome LG6:LT555311.1; chromosome LG7:LT555312.1	FKJA01	39051	NA	NA	2016-04-12	2016-04-12	Chromosome	TGAC	SAMEA3696998
Rosa multiflora	74647	PRJDB4738	414189	Plants	Land Plants	739.638	34.7	GCA_002564525.1	NA	BDJD01	83189	NA	NA	2017-10-12	2017-10-12	Scaffold	Kazusa DNA Research Institute	SAMD00050899
Aquilegia coerulea	218851	PRJNA33681	33681	Plants	Land Plants	301.98	37.3	GCA_002738505.1	NA	NXFA01	970	24823	41063	2017-10-31	2017-11-01	Scaffold	JGI	SAMN01041930
Pinus sylvestris	3349	PRJEB18435	359662	Plants	Land Plants	0.985624	46.3	GCA_900143225.1	NA	FRDG01	224	NA	NA	2017-01-02	2017-01-02	Contig	CENTRE FOR ECOLOGY AND HYDROLOGY	SAMEA18502918
Dioscorea alata	55571	PRJEB10904	297010	Plants	Land Plants	620.909	36.1	GCA_002904275.2	NA	CZHE02	57706	NA	NA	2015-10-10	2015-10-16	Scaffold	TGAC	SAMEA3542249
Picea glauca	3330	PRJNA83435	83435	Plants	Land Plants	24633.1	44.5811	GCA_000411955.5	chloroplast Pltd:KT634228.1	ALWZ04	3033322	6522	6445	2013-05-17	2015-03-13	Scaffold	The SMarTForests Project	SAMN01120252
Solanum pimpinellifolium	4084	PRJNA72351	72351	Plants	Land Plants	688.247	33.8	GCA_000230315.1	NA	AGFK01	309180	NA	NA	2011-10-06	2014-08-11	Contig	Sol Genomics Network	SAMN02981372
